ProbeID	RefseqBlastZebrafishGene	RefseqBlastZebrafishNucleotide	Number of Different Genes hit with highest stringency
A_15_P102633	mrpl49	XM_681902 	1
A_15_P746886	zp3	XM_009292766 	1
A_15_P114707	lman2	NM_001081747 	1
CUST_11741_PI425730982	LOC100149710	XM_005171088 	1
A_15_P197411	pkd2l1	XM_690312 	1
A_15_P112012	ftr53	NR_037706 	1
A_15_P181896	si:dkey-204a24.9	XM_001340700 	1
A_15_P160771	fam134a	NM_001080014 	1
A_15_P579682	fam84b	NM_001044880 	1
A_15_P100296	glulb	NM_182866 	1
A_15_P170271	eno1b	NM_200695 	1
A_15_P407660	mcm8	XM_005169800 	1
CUST_7403_PI425730982	zgc:171500	NM_001110128 	1
CUST_2823_PI425730982	ms4a17a.5	NM_001004629 	1
CUST_1771_PI425731064	LOC101883134	XM_005161557 	1
A_15_P551917	itih6	XM_009296936 	1
A_15_P724411	bcl11ba	NM_001099260 	1
A_15_P148496	pax7a	NM_131325 	1
A_15_P194896	nupl1	NM_213229 	1
A_15_P102640	wdr83	NM_001002429 	1
A_15_P580707	ldha	NM_131246 	1
A_15_P211221	mdka	NM_131070 	1
A_15_P668351	wdhd1	NM_001002726 	1
A_15_P286726	zgc:194627	NM_001128805 	1
CUST_4898_PI425730982	ttyh3b	NM_001037387 	1
A_15_P624066	slc27a1a	NM_001013537 	1
A_15_P207896	zgc:112056	NM_001017662 	1
A_15_P293776	fam107b	NM_198372 	1
A_15_P183206	trim35-39	NM_001113583 	1
A_15_P433370	uso1	NM_200155 	1
A_15_P628611	slc19a3b	XM_005159261 	1
CUST_961_PI425730982	mcts1	NM_201071 	1
A_15_P164066	gpr56	NM_001020481 	1
A_15_P632731	nr2e1	NM_001003608 	1
CUST_13_PI425731107	pkn2	XM_695612 	1
A_15_P108038	krt17	NM_001083105 	1
A_15_P113046	ylpm1	XM_003200679 	1
A_15_P201421	LOC569604	XM_693000 	1
A_15_P633206	ppp4r1	NM_200260 	1
CUST_4666_PI425730982	zgc:114118	NM_001030202 	1
A_15_P622481	dab1a	NM_001040685 	1
A_15_P630826	rcc1	NM_213178 	1
A_15_P749941	matr3l	NM_001122784 	1
A_15_P732221	prp19	NM_201467 	1
A_15_P475975	LOC568650	XM_691992 	1
CUST_15618_PI425730982	LOC561520	XM_684926 	1
A_15_P289896	LOC100330405	XM_009292654 	1
A_15_P334349	LOC100330485	XM_009302308 	1
A_15_P110920	cyp2k16	NM_001005963 	1
A_15_P549672	si:ch211-173d10.1	XM_009306412 	1
CUST_15726_PI425730982	pcnx	XM_009307500 	1
CUST_13011_PI425730982	LOC100332946	XM_009301102 	1
A_15_P721886	krt17	NM_001083105 	1
CUST_1460_PI425730982	fam3a	NM_200800 	1
A_15_P737921	zgc:158234	NM_001080183 	1
A_15_P152951	sox9b	NM_131644 	1
A_15_P626016	zgc:112368	NM_001025474 	1
A_15_P677671	si:ch211-136m16.8	XM_001340752 	1
A_15_P507072	tacc2	XM_009307411 	1
A_15_P171991	aqp10b	NM_001083047 	1
CUST_23513_PI425730982	pla2r1	XM_005155726 	1
A_15_P157626	LOC557259	XM_680297 	1
A_15_P158161	pom121	XM_691621 	1
CUST_21044_PI425730982	chrna2b	XM_692206 	1
CUST_11363_PI425730982	LOC563995	XM_009299194 	1
CUST_585_PI425731107	LOC562960	XM_686327 	1
A_15_P638446	gabrb2	NM_001024387 	1
A_15_P174901	thada	NM_001013483 	1
A_15_P626836	spon2b	NM_131008 	1
A_15_P346465	ddx21	NM_001127335 	1
CUST_11683_PI425730982	gpr128	XM_009296470 	1
A_15_P205541	aco2	NM_198908 	1
A_15_P118109	mtch2	NM_131382 	1
A_15_P642396	zgc:113886	XM_005158932 	1
CUST_15837_PI425730982	LOC100006895	XM_001923641 	1
A_15_P632756	si:ch211-259g3.4	NR_023325 	1
A_15_P656491	pou3f3a	NM_131150 	1
A_15_P106486	rps28	NM_213034 	1
A_15_P382415	gpr146	NM_001080019 	1
CUST_360_PI425731107	LOC100331025	XM_002664748 	1
A_15_P338945	cltcb	NM_001194978 	1
A_15_P659701	rab22a	NM_205719 	1
A_15_P742421	gtf2f2a	NM_001002127 	1
A_15_P707236	fbxl3b	NM_001006075 	1
A_15_P631571	pctp	NM_001130786 	1
CUST_1761_PI425730982	pla2g7	NM_213189 	1
A_15_P715201	aip	NM_214712 	1
A_15_P202556	sstr1a	XM_691574 	1
A_15_P193561	plagx	NM_001039829 	1
A_15_P142446	tmem168a	NM_001083086 	1
CUST_846_PI425731064	uba7	XM_005155876 	1
A_15_P725691	errfi1	NM_001083570 	1
A_15_P145816	tpcn1	XM_690831 	1
A_15_P423570	LOC100331601	XM_002662799 	1
CUST_16591_PI425730982	LOC564614	XM_687947 	1
CUST_6627_PI425730982	faslg	NM_001042701 	1
A_15_P185911	rft1	XM_683262 	1
A_15_P112909	pgm1	NM_201025 	1
CUST_20496_PI425730982	LOC103911928	XM_009306764 	1
A_15_P104325	snx4	NM_001014346 	1
A_15_P104373	mecp2	NM_212736 	1
A_15_P167271	si:dkeyp-2c8.2	XM_677874 	1
A_15_P412705	zgc:194629	NR_120380 	1
A_15_P667610	LOC100332822	XM_002663527 	1
A_15_P710201	LOC100535530	XM_003201693 	1
A_15_P740651	rrnad1	NM_001089434 	1
A_15_P149796	plac8.1	NM_001033097 	1
CUST_6346_PI425730982	LOC100332902	XM_005172936 	1
A_15_P642346	ezra	NM_001020490 	1
A_15_P764296	LOC557268	XM_009291373 	1
A_15_P103440	samm50	NM_200142 	1
A_15_P570837	LOC103909673	XM_009296752 	1
A_15_P531127	ufm1	NM_212627 	1
A_15_P352900	si:dkey-37g12.1	XM_009293204 	1
CUST_22674_PI425730982	kcnv1	XM_683312 	1
CUST_3464_PI425730982	tcp11l2	NM_213020 	1
A_15_P660096	sh3gl3b	NM_200181 	1
CUST_790_PI425731107	zgc:153115	NM_001077329 	1
CUST_2863_PI425731107	nms	XM_003201755 	1
A_15_P629786	anks3	NM_001114565 	1
A_15_P112172	cant1b	NM_001003595 	1
A_15_P631121	foxj1b	NM_001008648 	1
A_15_P632581	clint1a	NM_001003412 	1
CUST_6419_PI425730982	or129-1	NM_001082937 	1
A_15_P271331	si:ch211-225p5.8	NM_001111151 	1
A_15_P111338	eif2b3	NM_201074 	1
A_15_P209426	chchd4	NM_001003538 	1
A_15_P225341	tmod4	NM_131196 	1
A_15_P105928	smarcb1b	NM_131448 	1
CUST_2886_PI425731107	tax1bp1a	XM_003200572 	1
A_15_P102005	henmt1	NM_001017842 	1
A_15_P242066	pax1b	XM_695785 	1
CUST_15013_PI425730982	ncana	XM_002660981 	1
A_15_P574557	LOC100147920	XM_001923717 	1
A_15_P628466	phox2ba	NM_001145703 	1
A_15_P469135	si:ch211-173p18.3	NM_001044320 	1
CUST_6277_PI425730982	LOC793485	XR_661704 	1
CUST_7571_PI425730982	dpf3	NM_001111169 	1
A_15_P182091	lipea	XM_005159495 	1
A_15_P723251	iba57	NM_001076635 	1
A_15_P641501	tmem243a	XM_005159013 	1
CUST_14872_PI425730982	fam184b	XM_005170920 	1
A_15_P202076	LOC796724	XM_001337057 	1
CUST_23680_PI425730982	LOC797669	XM_001338104 	1
A_15_P113084	ctsba	NM_213336 	1
A_15_P104369	nars	XM_691656 	1
A_15_P345815	cab39l1	NM_213501 	1
A_15_P605477	LOC100330650	XM_002663659 	1
A_15_P621372	fzd3b	NM_001080601 	1
CUST_5017_PI425730982	or131-2	NM_001039638 	1
A_15_P112465	ndufa6	NM_200968 	1
A_15_P667011	zgc:113858	NM_001025490 	1
CUST_11979_PI425730982	si:ch211-175f11.5	XM_005158818 	1
CUST_6589_PI425730982	taar12b	NM_001083104 	1
A_15_P674526	mmab	NM_001082809 	1
A_15_P726666	ctsf	XM_005157153 	1
A_15_P685483	LOC568241	XM_009306962 	1
A_15_P405380	rab35b	NM_001003548 	1
A_15_P142951	ggact.1	NM_001077717 	1
A_15_P627081	rbm12	NM_001003856 	1
CUST_3580_PI425730982	fbxl22	NM_001013279 	1
A_15_P684391	LOC100151335	XM_001923441 	1
A_15_P419965	LOC100331601	XM_002662799 	1
A_15_P720186	gmds	NM_001102475 	1
A_15_P629521	elp2	NM_001044925 	1
A_15_P141506	ccdc85ca	NM_001045384 	1
CUST_850_PI425731107	v2rh13	XM_009293735 	1
A_15_P107453	cyp2p6	NM_200139 	1
A_15_P627306	crlf1b	NM_001113602 	1
A_15_P116526	klhl41b	NM_198979 	1
CUST_4638_PI425730982	zfand3	NM_001030175 	1
A_15_P191681	si:ch211-93f2.1	XM_001921931 	1
A_15_P107168	sdcbp	NM_212691 	1
A_15_P601077	si:ch211-165e15.1	XM_009292043 	1
A_15_P178771	uckl1b	XM_005162007 	1
CUST_10593_PI425730982	dennd4a	NM_001080989 	1
CUST_4843_PI425730982	zgc:122993	NM_001037230 	1
CUST_14240_PI425730982	znf469	XM_009298110 	1
CUST_8394_PI425730982	LOC101882074	XM_005163664 	1
A_15_P733406	acadvl	NM_212611 	1
CUST_6649_PI425730982	psmd14	NM_001083573 	1
A_15_P108216	gypc	NM_001005394 	1
A_15_P623636	smx5	NM_131496 	1
A_15_P323141	doc2d	NM_001128554 	1
A_15_P582077	actr1	NM_213372 	1
CUST_1251_PI425730982	asnsd1	NM_200095 	1
A_15_P720386	uck2b	NM_199764 	1
CUST_6842_PI425730982	dpagt1	NM_001089411 	1
A_15_P107806	golga3	NM_001128545 	1
A_15_P498142	si:ch211-197k17.3	XM_001342519 	1
A_15_P396505	pgs1	XM_003199632 	1
A_15_P623196	si:ch211-244b2.2	NM_001114929 	1
CUST_2365_PI425730982	tm4sf5	NM_001002372 	1
A_15_P119671	hoxc6a	NM_131123 	1
A_15_P264451	pcmtd1	NM_001030067 	1
A_15_P130891	hoxc1a	NM_131531 	1
CUST_2499_PI425730982	syn2a	NM_001002597 	1
A_15_P728056	misp	XM_005155964 	1
A_15_P117599	surf4l	NM_001002470 	1
A_15_P220596	LOC557243	XM_005172431 	1
A_15_P682316	slc2a9l2	XM_009307638 	1
CUST_10897_PI425730982	fibinb	NM_001017873 	1
A_15_P140471	cycsb	NM_001002068 	1
CUST_300_PI425731064	chrnb2b	XM_005169754 	1
A_15_P205976	mrps27	NM_001003778 	1
A_15_P728756	syne2b	XM_009307509 	1
CUST_251_PI425731064	LOC569401	XM_009304802 	1
A_15_P622496	zgc:123238	NM_001037112 	1
A_15_P631221	gale	NM_001040299 	1
A_15_P110445	foxb1a	NM_131285 	1
A_15_P143131	ttll3	NM_001045305 	1
A_15_P108417	sec61a1	NM_153659 	1
A_15_P153501	metap1d	NM_001024392 	1
A_15_P148606	mapkapk2a	NM_201303 	1
A_15_P118446	sspn	NM_001037580 	1
CUST_11449_PI425730982	mgat3	XM_694350 	1
A_15_P241281	LOC101885469	XM_005169987 	1
CUST_2257_PI425730982	crygm2d6	NM_001002138 	1
A_15_P208661	si:ch211-262h13.3	NM_001082865 	1
CUST_890_PI425730982	vti1b	NM_201036 	1
A_15_P102901	b3galnt2	NM_001020687 	1
A_15_P743046	pphln1	NM_001080080 	1
A_15_P365890	tfap2d	NM_001025546 	1
A_15_P209451	zgc:113162	XM_005161110 	1
CUST_824_PI425731107	rabggta	NM_001076663 	1
A_15_P703956	si:dkey-71p21.9	NR_046387 	1
CUST_15170_PI425730982	LOC571254	XM_694825 	1
A_15_P631266	nostrin	NM_001113604 	1
A_15_P133301	rhoae	NM_201150 	1
A_15_P109718	dnpep	NM_200153 	1
CUST_11812_PI425730982	wdr33	NM_001024221 	1
A_15_P161971	txnl1	NM_201138 	1
A_15_P403310	hsd17b4	NM_200136 	1
A_15_P138936	LOC101882934	XM_009302866 	1
A_15_P116632	tshb	NM_181494 	1
CUST_9764_PI425730982	LOC101886961	XM_009301194 	1
CUST_4454_PI425730982	LOC567656	XM_690954 	1
A_15_P742676	dtnbp1a	NM_201134 	1
A_15_P193031	hbbe2	NM_212846 	1
CUST_11131_PI425730982	chl1a	NM_001163106 	1
A_15_P115541	pth2r	NM_131377 	1
A_15_P196521	isca1	NM_001025178 	1
A_15_P182756	LOC101883616	XM_005159721 	1
CUST_6441_PI425730982	myct1a	NM_001082917 	1
A_15_P737436	tmcc1b	NM_001080008 	1
CUST_8566_PI425730982	LOC100535458	XM_003198542 	1
A_15_P397385	c1qbp	NM_001017858 	1
A_15_P104764	cpvl	NM_199278 	1
A_15_P730901	akap1b	NM_001098179 	1
A_15_P580852	g6pca.2	NM_001163806 	1
A_15_P144256	si:ch211-208c6.2	XR_662137 	1
CUST_6524_PI425730982	grhl2b	NM_001083072 	1
A_15_P106403	msh6	NM_182860 	1
CUST_19798_PI425730982	wnt7ba	XM_686786 	1
A_15_P101223	abhd17b	NM_001002744 	1
CUST_3555_PI425730982	znf668	NM_001012489 	1
A_15_P199011	tox4	XM_001920966 	1
CUST_1583_PI425730982	cbr4	NM_205656 	1
A_15_P144906	brms1	NM_200097 	1
A_15_P679621	c11h21orf2	XM_009306340 	1
A_15_P442795	gpr107	XM_009301549 	1
A_15_P199471	si:ch73-52e5.1	NM_001122704 	1
A_15_P409220	tbl1x	NM_001082994 	1
A_15_P528907	LOC100537991	XM_009301222 	1
A_15_P721136	mtx1b	NM_001007280 	1
A_15_P750646	eif3ea	NM_200839 	1
A_15_P686166	slc25a47b	NM_001089581 	1
CUST_3716_PI425730982	fam73b	NM_001013557 	1
A_15_P720871	arpc5la	NM_200578 	1
A_15_P163971	mos	NM_205580 	1
A_15_P175971	zgc:101540	NM_001008639 	1
A_15_P738021	LOC100333031	XM_009301020 	1
CUST_14184_PI425730982	armc3	XM_683526 	1
CUST_2099_PI425730982	aptx	NM_214729 	1
A_15_P626396	setdb1a	NM_001044767 	1
A_15_P104461	elp2	NM_001044925 	1
A_15_P110156	hells	NM_001037101 	1
CUST_5795_PI425730982	zgc:153264	NM_001076773 	1
A_15_P159581	LOC568600	XM_009305304 	1
A_15_P172231	cyyr1	NM_212882 	1
A_15_P109820	chd4a	NM_001044858 	1
CUST_1470_PI425731107	LOC101882122	XM_005159707 	1
A_15_P159421	pparaa	NM_001161333 	1
A_15_P502992	inhbaa	NM_130916 	1
A_15_P113902	tnni2a.1	NM_001007365 	1
CUST_11225_PI425730982	adcy7	NM_001166272 	1
A_15_P506777	d2hgdh	NM_001080597 	1
A_15_P173341	cenpe	NM_001076721 	1
CUST_1731_PI425730982	gmfb	NM_213110 	1
A_15_P115142	epha4b	NM_153658 	1
A_15_P101984	slbp	NM_001256194 	1
CUST_143_PI425731107	LOC560949	XM_005157046 	1
A_15_P176156	lrp2bp	NM_001098776 	1
A_15_P243471	LOC564731	XM_688062 	1
A_15_P105678	dpf1	NM_001030204 	1
A_15_P185471	calcrlb	XM_001920000 	1
A_15_P120550	bnip1a	XM_684156 	1
A_15_P678771	LOC103910989	XM_009300973 	1
A_15_P307531	wdr11	XM_682139 	1
A_15_P711224	zgc:153932	XM_009306951 	1
CUST_4421_PI425730982	zgc:110046	NM_001020561 	1
A_15_P186811	LOC100006932	XM_001345494 	1
CUST_3985_PI425730982	zgc:112426	NM_001017793 	1
A_15_P517412	uo:ion006	XM_009297549 	1
A_15_P620181	rrs1	NM_200062 	1
A_15_P117176	brf1a	NM_199898 	1
A_15_P632286	il17rd	NM_153660 	1
CUST_7956_PI425730982	nitr7a	NM_001115088 	1
A_15_P396770	im:6904482	XM_005170709 	1
A_15_P105156	lztfl1	NM_199587 	1
A_15_P755586	cyth4b	NM_001114903 	1
CUST_608_PI425731064	LOC566221	XM_005164459 	1
A_15_P291486	si:ch211-77g15.32	NR_120356 	1
A_15_P372035	LOC100333089	XM_003200443 	1
CUST_331_PI425730982	dvl3a	NM_131757 	1
A_15_P662911	zgc:165520	NM_001099425 	1
A_15_P730856	khdrbs1a	NM_130925 	1
CUST_20971_PI425730982	waif2	NM_001258231 	1
A_15_P503787	si:dkeyp-20g2.3	XM_005165222 	1
A_15_P113661	zgc:92113	NM_001003448 	1
A_15_P219936	ufd1l	NM_001002451 	1
A_15_P690476	LOC100151145	XM_001919986 	1
A_15_P690566	vtg5	NM_001025189 	1
A_15_P221721	si:dkey-197d18.1	XM_009294952 	1
A_15_P580543	mettl20	NM_001161495 	1
A_15_P748736	zgc:77262	NM_205654 	1
CUST_963_PI425730982	rtn3	NM_201072 	1
A_15_P570177	slc7a14b	XM_679547 	1
A_15_P186791	plbd1	NM_001130791 	1
A_15_P483215	whamm	XM_009300975 	1
A_15_P186851	crebbpb	XM_009299167 	1
A_15_P177616	sptbn1	XM_009306311 	1
CUST_10501_PI425730982	zgc:195170	NM_001130638 	1
A_15_P239646	toporsb	XM_003201632 	1
A_15_P252541	rnd1l	NM_001044396 	1
CUST_19806_PI425730982	ptprea	XM_003199652 	1
A_15_P195126	arl6ip6	NM_001089501 	1
A_15_P413020	ntrk3b	XM_002662753 	1
A_15_P205711	tulp4a	NM_001045095 	1
A_15_P590797	nup62l	XM_005157152 	1
CUST_529_PI425730982	lyar	NM_200679 	1
A_15_P100715	psmb4	NM_001017801 	1
A_15_P709821	LOC558881	XM_001918931 	1
CUST_2315_PI425731107	ftsj1	NM_001007384 	1
A_15_P441495	usp6nl	NM_001130599 	1
CUST_1837_PI425730982	sdr16c5a	NM_212878 	1
CUST_14964_PI425730982	iqgap1	XM_009303432 	1
A_15_P446420	stra6	NM_001045312 	1
CUST_1553_PI425731107	gpr78a	XM_009293050 	1
A_15_P491187	gadd45ab	NM_001002216 	1
A_15_P743961	si:ch1073-263o8.2	XM_009295702 	1
A_15_P300408	si:dkey-100n19.2	XM_002665126 	1
A_15_P115518	edem1	NM_201189 	1
CUST_10682_PI425730982	sult1st7	NM_001139481 	1
A_15_P722741	LOC100002825	XM_001342476 	1
A_15_P656461	phox2bb	NM_001014818 	1
A_15_P193966	zgc:158643	NM_001080702 	1
A_15_P156666	LOC100331291	XM_009297419 	1
A_15_P660476	igf2r	NM_001039627 	1
A_15_P187286	ddx5	NM_212612 	1
CUST_2541_PI425730982	cryzl1	NM_001002633 	1
A_15_P392205	pvalb6	NM_205573 	1
A_15_P624896	crygm2d10	NM_001109860 	1
A_15_P627516	si:ch211-206a7.2	NM_001135132 	1
A_15_P100331	sar1ab	NM_001017882 	1
A_15_P710316	LOC103911724	XM_009305155 	1
A_15_P159176	irak3	XM_003198259 	1
A_15_P570532	cdh12a	NM_001159830 	1
CUST_1018_PI425730982	sbds	NM_201121 	1
A_15_P156301	LOC570448	XM_693928 	1
A_15_P181341	kif4	NM_200823 	1
A_15_P168991	gpr132b	NM_001025547 	1
A_15_P120236	shroom4	XM_682334 	1
CUST_3795_PI425730982	pnocb	NM_001015044 	1
A_15_P120728	pi4k2a	NM_213358 	1
A_15_P199746	foxq1a	NM_001243344 	1
CUST_2059_PI425731064	emilin3a	XM_694010 	1
A_15_P103588	mmp13b	XM_001345471 	1
A_15_P580192	calua	NM_001002151 	1
A_15_P131851	LOC101885940	XR_661791 	1
A_15_P200436	zgc:171777	XM_005159863 	1
CUST_1579_PI425731064	si:dkey-111i23.1	XM_005167647 	1
A_15_P184156	nmbrl	XM_685233 	1
A_15_P732426	gad2	NM_001017708 	1
A_15_P662216	fam13b	NM_001123011 	1
A_15_P182486	adrbk2	NM_001134725 	1
A_15_P102000	mapkapk2a	NM_201303 	1
A_15_P533607	LOC101883016	XM_009299617 	1
CUST_15820_PI425730982	fam124b	XM_696179 	1
A_15_P130806	hoxa3a	NM_131534 	1
A_15_P268051	LOC100150043	XM_005156378 	1
A_15_P628996	csnk2a2a	NM_131240 	1
A_15_P197986	LOC101886079	XM_005157061 	1
A_15_P152106	hinfp	NM_213424 	1
A_15_P116971	fem1a	NM_199837 	1
A_15_P601167	psmc4	NM_199750 	1
A_15_P196961	meis1b	NM_131893 	1
A_15_P260151	LOC101884071	XM_005171490 	1
CUST_10294_PI425730982	nmbb	NM_001128756 	1
A_15_P408085	tnfrsf18	NM_001113524 	1
A_15_P735581	kdm6al	NM_001080193 	1
A_15_P192946	lss	NM_001083567 	1
A_15_P664501	tln1	NM_001009560 	1
A_15_P489537	zgc:113413	NM_001013304 	1
CUST_1468_PI425731064	msantd2	XM_001339696 	1
A_15_P664786	mcfd2	NM_001005939 	1
A_15_P115136	tbl3	NM_001007402 	1
A_15_P663231	slc6a13	NM_001004533 	1
A_15_P113569	mpeg1.1	NM_212737 	1
A_15_P740766	atp5g3b	NM_131761 	1
CUST_23818_PI425730982	kansl1l	XM_684784 	1
A_15_P280101	calcoco1a	NM_001110166 	1
CUST_14920_PI425730982	LOC103908656	XM_009298908 	1
A_15_P673961	pttg1ipa	XM_002662302 	1
CUST_6050_PI425730982	pax1a	NM_001080592 	1
A_15_P164366	ppat	NM_001082877 	1
CUST_3884_PI425730982	dnajc28	NM_001017648 	1
A_15_P134416	si:dkeyp-118b1.2	XM_005156096 	1
A_15_P108759	mob3c	NM_001002191 	1
A_15_P194066	agbl5	NM_001004113 	1
A_15_P220621	wu:fa16f04	XM_005169568 	1
A_15_P104808	si:ch211-117m20.5	NM_001252649 	1
CUST_3909_PI425730982	zgc:112466	NM_001017679 	1
A_15_P364200	LOC100535098	XM_003197911 	1
CUST_21264_PI425730982	LOC100332843	XM_002662745 	1
A_15_P627871	nedd9	NM_001077282 	1
A_15_P349835	txnl1	NM_201138 	1
CUST_2441_PI425730982	nrn1a	NM_001002507 	1
A_15_P505192	tmem206	NM_001291762 	1
A_15_P626086	nedd8l	NM_001002557 	1
A_15_P148262	dscama	NM_001030224 	1
A_15_P108548	inhbaa	NM_130916 	1
CUST_987_PI425730982	zgc:64106	NM_200377 	1
A_15_P134141	taf5	NM_001037431 	1
CUST_11727_PI425730982	LOC103910936	XM_009300926 	1
A_15_P142712	gtf2a2	NM_001020605 	1
CUST_1639_PI425731064	si:ch211-214b16.3	XM_005164268 	1
A_15_P146861	zgc:194261	NM_001128766 	1
A_15_P120242	dpysl5b	NM_001020515 	1
A_15_P342715	ggact.3	NM_001089560 	1
CUST_23306_PI425730982	si:ch211-120p12.3	XM_684924 	1
A_15_P347702	lztfl1	NM_199587 	1
A_15_P663616	zgc:110425	NM_001020746 	1
A_15_P208256	avil	NM_001040365 	1
A_15_P156526	klhl40b	XM_001334040 	1
A_15_P118366	nek7	NM_001003617 	1
A_15_P621036	si:ch211-222k6.3	NM_001083059 	1
CUST_13106_PI425730982	si:ch211-155d24.7	XM_685802 	1
A_15_P206056	stk38l	NM_200982 	1
A_15_P109169	cnot6l	NM_001020638 	1
CUST_2975_PI425730982	galk1	NM_001006002 	1
CUST_4509_PI425730982	ccdc22	NM_001025485 	1
A_15_P138836	LOC100536819	XM_003201087 	1
A_15_P105107	sult2st1	NM_198914 	1
CUST_128_PI425731107	srp68	NM_001005401 	1
A_15_P382710	mettl23	XM_003198198 	1
CUST_4324_PI425730982	il22	NM_001020792 	1
A_15_P116810	add3a	NM_199663 	1
A_15_P682306	LOC100537120	XM_009301816 	1
A_15_P144861	slc38a7	XM_009303440 	1
A_15_P725896	arid3b	NM_001083002 	1
A_15_P150831	grip1	NM_001044851 	1
A_15_P100907	hoxc3a	NM_001134685 	1
A_15_P631961	col4a3bpa	NM_001017914 	1
A_15_P290391	sumf2	NM_001005980 	1
A_15_P658671	crfb4	NM_001083868 	1
A_15_P628516	tp63	NM_152986 	1
A_15_P555162	trappc12	NM_001080644 	1
A_15_P747696	marveld2a	XM_009305076 	1
A_15_P281716	si:dkey-30e9.7	XM_001345324 	1
A_15_P365415	uap1	NM_212621 	1
A_15_P198261	saga	NM_200559 	1
A_15_P101630	bmpr1ba	NM_131457 	1
A_15_P206006	smoc2	XM_009307568 	1
A_15_P623876	parvaa	NM_001002872 	1
A_15_P751501	si:dkeyp-120h9.1	NM_001100022 	1
